read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
read328,848,1,1,108,108,108,108,108,0,1.0,mapped_high
read329,849,1,1,108,108,108,108,108,0,1.0,mapped_high
read330,850,1,1,108,108,108,108,108,0,1.0,mapped_high
read331,851,1,1,108,108,108,108,108,0,1.0,mapped_high
read332,852,1,1,108,108,107,107,107,1,0.9907407407407407,mapped_high
read333,853,1,1,108,108,108,108,108,0,1.0,mapped_high
read334,854,1,1,108,108,108,108,108,0,1.0,mapped_high
read335,855,1,1,108,108,108,108,108,0,1.0,mapped_high
read336,856,1,1,108,108,108,108,108,0,1.0,mapped_high
read337,857,1,1,108,108,108,108,108,0,1.0,mapped_high
read338,858,1,1,108,108,108,108,108,0,1.0,mapped_high
read339,859,1,1,108,108,108,108,108,0,1.0,mapped_high
read340,860,1,1,108,108,108,108,108,0,1.0,mapped_high
read341,861,1,1,108,108,108,108,108,0,1.0,mapped_high
read342,862,1,1,108,108,108,108,108,0,1.0,mapped_high
read343,863,1,1,108,108,104,104,104,4,0.962962962962963,mapped_high
read344,864,1,1,108,108,108,108,108,0,1.0,mapped_high
read345,865,1,1,108,108,108,108,108,0,1.0,mapped_high
read346,866,1,1,108,108,108,108,108,0,1.0,mapped_high
read347,867,1,1,108,108,108,108,108,0,1.0,mapped_high
read348,868,1,1,108,108,108,108,108,0,1.0,mapped_high
read349,869,1,1,108,108,108,108,108,0,1.0,mapped_high
read350,870,1,1,108,108,108,108,108,0,1.0,mapped_high
read351,871,1,1,108,108,108,108,108,0,1.0,mapped_high
read352,872,1,1,108,108,108,108,108,0,1.0,mapped_high
read353,874,1,1,108,108,108,108,108,0,1.0,mapped_high
read354,875,1,1,108,108,108,108,108,0,1.0,mapped_high
read355,876,1,1,108,108,108,108,108,0,1.0,mapped_high
read356,877,1,1,108,108,108,108,108,0,1.0,mapped_high
read357,879,1,1,108,108,108,108,108,0,1.0,mapped_high
read358,880,1,1,108,108,108,108,108,0,1.0,mapped_high
read359,881,1,1,108,108,108,108,108,0,1.0,mapped_high
read360,882,1,1,108,108,108,108,108,0,1.0,mapped_high
read361,883,1,1,108,108,108,108,108,0,1.0,mapped_high
read362,884,1,1,108,108,108,108,108,0,1.0,mapped_high
read363,885,1,1,108,108,108,108,108,0,1.0,mapped_high
read364,886,1,1,108,108,108,108,108,0,1.0,mapped_high
read365,887,1,1,108,108,108,108,108,0,1.0,mapped_high
read366,889,1,1,108,108,108,108,108,0,1.0,mapped_high
read367,890,1,1,108,108,108,108,108,0,1.0,mapped_high
read368,891,1,1,108,108,108,108,108,0,1.0,mapped_high
read369,892,1,1,108,108,108,108,108,0,1.0,mapped_high
read370,893,1,1,108,108,108,108,108,0,1.0,mapped_high
read371,894,1,1,108,108,108,108,108,0,1.0,mapped_high
read372,895,1,1,108,108,108,108,108,0,1.0,mapped_high
read373,896,1,1,108,108,108,108,108,0,1.0,mapped_high
read374,897,1,1,108,108,108,108,108,0,1.0,mapped_high
read375,899,1,1,108,108,108,108,108,0,1.0,mapped_high
read376,900,1,1,108,108,108,108,108,0,1.0,mapped_high
read377,901,1,1,108,108,108,108,108,0,1.0,mapped_high
read378,902,1,1,108,108,108,108,108,0,1.0,mapped_high
read379,903,1,1,108,108,108,108,108,0,1.0,mapped_high
read380,904,1,1,108,108,108,108,108,0,1.0,mapped_high
read381,905,1,1,108,108,108,108,108,0,1.0,mapped_high
read382,906,1,1,108,108,108,108,108,0,1.0,mapped_high
read383,907,1,1,108,108,108,108,108,0,1.0,mapped_high
read384,908,1,1,108,108,108,108,108,0,1.0,mapped_high
read385,909,1,1,108,108,108,108,108,0,1.0,mapped_high
read386,910,1,1,108,108,108,108,108,0,1.0,mapped_high
read387,911,1,1,108,108,108,108,108,0,1.0,mapped_high
read388,912,1,1,108,108,108,108,108,0,1.0,mapped_high
read389,914,1,1,108,108,108,108,108,0,1.0,mapped_high
read390,915,1,1,108,108,108,108,108,0,1.0,mapped_high
read391,916,1,1,108,108,108,108,108,0,1.0,mapped_high
read392,917,1,1,108,108,108,108,108,0,1.0,mapped_high
read393,918,1,1,108,108,108,108,108,0,1.0,mapped_high
read394,919,1,1,108,108,108,108,108,0,1.0,mapped_high
read395,920,1,1,108,108,108,108,108,0,1.0,mapped_high
read396,921,1,1,108,108,108,108,108,0,1.0,mapped_high
read397,922,1,1,108,108,108,108,108,0,1.0,mapped_high
read398,925,1,1,108,108,108,108,108,0,1.0,mapped_high
read399,926,1,1,108,108,108,108,108,0,1.0,mapped_high
read400,927,1,1,108,108,108,108,108,0,1.0,mapped_high
read1,466,1,1,108,108,108,108,108,0,1.0,mapped_high
read2,468,1,1,108,108,108,108,108,0,1.0,mapped_high
read3,469,1,1,108,108,108,108,108,0,1.0,mapped_high
read4,470,1,1,108,108,108,108,108,0,1.0,mapped_high
read5,473,1,1,108,108,108,108,108,0,1.0,mapped_high
read6,474,1,1,108,108,108,108,108,0,1.0,mapped_high
read7,475,1,1,108,108,108,108,108,0,1.0,mapped_high
read8,476,1,1,108,108,108,108,108,0,1.0,mapped_high
read9,478,1,1,108,108,108,108,108,0,1.0,mapped_high
read10,479,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read11,480,1,1,108,108,108,108,108,0,1.0,mapped_high
read12,481,1,1,108,108,108,108,108,0,1.0,mapped_high
read13,482,1,1,108,108,108,108,108,0,1.0,mapped_high
read14,485,1,1,108,108,108,108,108,0,1.0,mapped_high
read15,487,1,1,108,108,108,108,108,0,1.0,mapped_high
read16,490,1,1,108,108,108,108,108,0,1.0,mapped_high
read17,492,1,1,108,108,108,108,108,0,1.0,mapped_high
read18,493,1,1,108,108,108,108,108,0,1.0,mapped_high
read19,494,1,1,108,108,108,108,108,0,1.0,mapped_high
read20,495,1,1,108,108,108,108,108,0,1.0,mapped_high
read21,497,1,1,108,108,108,108,108,0,1.0,mapped_high
read22,498,1,1,108,108,108,108,108,0,1.0,mapped_high
read23,501,1,1,108,108,108,108,108,0,1.0,mapped_high
read24,503,1,1,108,108,108,108,108,0,1.0,mapped_high
read25,504,1,1,108,108,108,108,108,0,1.0,mapped_high
read26,505,1,1,108,108,108,108,108,0,1.0,mapped_high
read27,506,1,1,108,108,108,108,108,0,1.0,mapped_high
read28,508,1,1,108,108,108,108,108,0,1.0,mapped_high
read29,509,1,1,108,108,108,108,108,0,1.0,mapped_high
read30,510,1,1,108,108,108,108,108,0,1.0,mapped_high
read31,511,1,1,108,108,108,108,108,0,1.0,mapped_high
read32,512,1,1,108,108,108,108,108,0,1.0,mapped_high
read33,513,1,1,108,108,108,108,108,0,1.0,mapped_high
read34,514,1,1,108,108,108,108,108,0,1.0,mapped_high
read35,515,1,1,108,108,108,108,108,0,1.0,mapped_high
read36,516,1,1,108,108,108,108,108,0,1.0,mapped_high
read37,517,1,1,108,108,108,108,108,0,1.0,mapped_high
read38,518,1,1,108,108,108,108,108,0,1.0,mapped_high
read39,519,1,1,108,108,108,108,108,0,1.0,mapped_high
read40,520,1,1,108,108,108,108,108,0,1.0,mapped_high
read41,521,1,1,108,108,108,108,108,0,1.0,mapped_high
read42,522,1,1,108,108,108,108,108,0,1.0,mapped_high
read43,524,1,1,108,108,108,108,108,0,1.0,mapped_high
read44,525,1,1,108,108,108,108,108,0,1.0,mapped_high
read45,526,1,1,108,108,108,108,108,0,1.0,mapped_high
read46,527,1,1,108,108,108,108,108,0,1.0,mapped_high
read47,528,1,1,108,108,108,108,108,0,1.0,mapped_high
read48,529,1,1,108,108,107,107,107,1,0.9907407407407407,mapped_high
read49,530,1,1,108,108,108,108,108,0,1.0,mapped_high
read50,531,1,1,108,108,108,108,108,0,1.0,mapped_high
read51,532,1,1,108,108,108,108,108,0,1.0,mapped_high
read52,533,1,1,108,108,108,108,108,0,1.0,mapped_high
read53,534,1,1,108,108,108,108,108,0,1.0,mapped_high
read54,535,1,1,108,108,108,108,108,0,1.0,mapped_high
read55,536,1,1,108,108,108,108,108,0,1.0,mapped_high
read56,538,1,1,108,108,103,103,103,5,0.9537037037037037,mapped_high
read57,539,1,1,108,108,108,108,108,0,1.0,mapped_high
read58,540,1,1,108,108,108,108,108,0,1.0,mapped_high
read59,541,1,1,108,108,106,106,106,2,0.9814814814814815,mapped_high
read60,542,1,1,108,108,108,108,108,0,1.0,mapped_high
read61,543,1,1,108,108,108,108,108,0,1.0,mapped_high
read62,544,1,1,108,108,108,108,108,0,1.0,mapped_high
read63,545,1,1,108,108,108,108,108,0,1.0,mapped_high
read64,546,1,1,108,108,108,108,108,0,1.0,mapped_high
read65,547,1,1,108,108,108,108,108,0,1.0,mapped_high
read66,548,1,1,108,108,108,108,108,0,1.0,mapped_high
read67,550,1,1,108,108,108,108,108,0,1.0,mapped_high
read68,551,1,1,108,108,108,108,108,0,1.0,mapped_high
read69,552,1,1,108,108,108,108,108,0,1.0,mapped_high
read70,553,1,1,108,108,108,108,108,0,1.0,mapped_high
read71,554,1,1,108,108,108,108,108,0,1.0,mapped_high
read72,555,1,1,108,108,106,106,106,2,0.9814814814814815,mapped_high
read73,556,1,1,108,108,108,108,108,0,1.0,mapped_high
read74,557,1,1,108,108,108,108,108,0,1.0,mapped_high
read75,558,1,1,108,108,108,108,108,0,1.0,mapped_high
read76,559,1,1,108,108,108,108,108,0,1.0,mapped_high
read77,560,1,1,108,108,108,108,108,0,1.0,mapped_high
read78,561,1,1,108,108,108,108,108,0,1.0,mapped_high
read79,562,1,1,108,108,108,108,108,0,1.0,mapped_high
read80,563,1,1,108,108,108,108,108,0,1.0,mapped_high
read81,564,1,1,108,108,108,108,108,0,1.0,mapped_high
read82,565,1,1,108,108,108,108,108,0,1.0,mapped_high
read83,566,1,1,108,108,108,108,108,0,1.0,mapped_high
read84,567,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read85,568,1,1,108,108,108,108,108,0,1.0,mapped_high
read86,569,1,1,108,108,108,108,108,0,1.0,mapped_high
read87,570,1,1,108,108,108,108,108,0,1.0,mapped_high
